eq_id;method;predicted_variable;output_unit;species_id;species_name_fr;species_code;validity_region;input_variable;input_unit;formula_type;explicit_formula;coeff_a;coeff_b;coeff_c;coeff_d;coeff_e;coeff_f;validity_range;remarks;reference_source;colonne1
vallet_vta_pab;vallet;v_tot_above;m^3;36;epicea;PICEA_ABIES;france (nord/est et massifs);c130,htot;c130_cm, htot_m;vallet_vta ;"(1) form = (a+b*c130+c*((c130^(1/2))/htot))*(1+(d/c130^2); (2) vta= form*(1/pi*40000)*c130^2*htot";0.631;-0.000946;;;;;c130>45 cm;"Modèle avec correction pour petits diamètres et facteur de forme ; volume total au-dessus du sol (branches incluses). Applicabilit_ est bonne pour les forêts de montagne denses en conifères. Peu dÕarbres de petite taille on _t_ inclus dans lÕ_chantillon, donc prudence sur les petits diamètres.";Vallet P., Dh™te J.-F., Mogu_dec G.L., Ravart M. & Pignard G., 2006. Development of total aboveground volume equations for seven important forest tree species in france. Forest Ecology and Management 229(1_3), 98_110, DOI:10.1016/j.foreco.2006.03.013.;  
vallet_vta_qro;vallet;v_tot_above;m^3;2;chene sessile;QUERCUS_ROBUR;france (nord/est et massifs);c130,htot;c130_cm, htot_m;vallet_vta ;"(1) form = (a+b*c130+c*((c130^(1/2))/htot))*(1+(d/c130^2); (2) vta= form*(1/pi*40000)*c130^2*htot";0.471;-0.000345;0.377;;;;c130>45 cm;"Modèle avec correction pour petits diamètres et facteur de forme ; volume total au-dessus du sol (branches incluses). Les donn_es incluent une bonne gamme de diamètres, mais l_gère sous-repr_sentation des très petits arbres. Fourchette de validit_ centr_e sur le domaine _tudi_ (forêts du Nord/Est).";Vallet P., Dh™te J.-F., Mogu_dec G.L., Ravart M. & Pignard G., 2006. Development of total aboveground volume equations for seven important forest tree species in france. Forest Ecology and Management 229(1_3), 98_110, DOI:10.1016/j.foreco.2006.03.013.;  
vallet_vta_fsy;vallet;v_tot_above;m^3;6;hetre;FAGUS_SYLVATICA;france (nord/est et massifs);c130,htot;c130_cm, htot_m;vallet_vta ;"(1) form = (a+b*c130+c*((c130^(1/2))/htot))*(1+(d/c130^2); (2) vta= form*(1/pi*40000)*c130^2*htot";0.395;0.000266;0.421;45.4;;;c130>45 cm;"Modèle avec correction pour petits diamètres et facteur de forme ; volume total au-dessus du sol (branches incluses). Taille importante de lÕ_chantillon avec bonne repr_sentativit_ g_ographique. Le modèle capture bien la variation de forme et la relation dimensionnelle.";Vallet P., Dh™te J.-F., Mogu_dec G.L., Ravart M. & Pignard G., 2006. Development of total aboveground volume equations for seven important forest tree species in france. Forest Ecology and Management 229(1_3), 98_110, DOI:10.1016/j.foreco.2006.03.013.;  
vallet_vta_psy;vallet;v_tot_above;m^3;40;pin sylvestre;PINUS_SYLVESTRIS;france (nord/est et massifs);c130,htot;c130_cm, htot_m;vallet_vta ;"(1) form = (a+b*c130+c*((c130^(1/2))/htot))*(1+(d/c130^2); (2) vta= form*(1/pi*40000)*c130^2*htot";0.297;0.000318;0.384;204;;;c130>45 cm;"Modèle avec correction pour petits diamètres et facteur de forme ; volume total au-dessus du sol (branches incluses). LÕ_chantillon inclut beaucoup dÕarbres, mais la morphologie varie fortement avec lÕinstallation (plantation vs r_g_n_ration naturelle). On note un grand _talement des tailles.";Vallet P., Dh™te J.-F., Mogu_dec G.L., Ravart M. & Pignard G., 2006. Development of total aboveground volume equations for seven important forest tree species in france. Forest Ecology and Management 229(1_3), 98_110, DOI:10.1016/j.foreco.2006.03.013.;  
vallet_vta_ppi;vallet;v_tot_above;m^3;50;in maritime;PINUS_PINASTER;france (nord/est et massifs);c130,htot;c130_cm, htot_m;vallet_vta ;"(1) form = (a+b*c130+c*((c130^(1/2))/htot))*(1+(d/c130^2); (2) vta= form*(1/pi*40000)*c130^2*htot";0.235;0.00097;0.396;198.8;;;c130>45 cm;"Modèle avec correction pour petits diamètres et facteur de forme ; volume total au-dessus du sol (branches incluses). Les peuplements inclus couvrent une gamme large de situations _daphiques et climatiques.";Vallet P., Dh™te J.-F., Mogu_dec G.L., Ravart M. & Pignard G., 2006. Development of total aboveground volume equations for seven important forest tree species in france. Forest Ecology and Management 229(1_3), 98_110, DOI:10.1016/j.foreco.2006.03.013.;  
vallet_vta_aal;vallet;v_tot_above;m^3;44;sapin blanc;ABIES_ALBA;france (nord/est et massifs);c130,htot;c130_cm, htot_m;vallet_vta ;"(1) form = (a+b*c130+c*((c130^(1/2))/htot))*(1+(d/c130^2); (2) vta= form*(1/pi*40000)*c130^2*htot";0.55;-0.000749;0.277;;;;c130>45 cm;"Modèle avec correction pour petits diamètres et facteur de forme ; volume total au-dessus du sol (branches incluses). Population _chantillonn_e dans les massifs montagneux, modèle pr_cis dans ce contexte r_gional.";Vallet P., Dh™te J.-F., Mogu_dec G.L., Ravart M. & Pignard G., 2006. Development of total aboveground volume equations for seven important forest tree species in france. Forest Ecology and Management 229(1_3), 98_110, DOI:10.1016/j.foreco.2006.03.013.;  
vallet_vta_pme;vallet;v_tot_above;m^3;38;douglas;PSEUDOTSUGA_MENZIESII;france (nord/est et massifs);c130,htot;c130_cm, htot_m;vallet_vta ;"(1) form = (a+b*c130+c*((c130^(1/2))/htot))*(1+(d/c130^2); (2) vta= form*(1/pi*40000)*c130^2*htot";0.534;-0.00053;;56.6;;;c130>45 cm;"Modèle avec correction pour petits diamètres et facteur de forme ; volume total au-dessus du sol (branches incluses). correction non obligatoire (paramètre d non-significatif), mais appliqu_e pour homog_n_iser le traitement. ƒchantillon plus restreint avec majorit_ dÕarbres de petit diamètre, ce qui demande prudence sur extrapolations.";Vallet P., Dh™te J.-F., Mogu_dec G.L., Ravart M. & Pignard G., 2006. Development of total aboveground volume equations for seven important forest tree species in france. Forest Ecology and Management 229(1_3), 98_110, DOI:10.1016/j.foreco.2006.03.013.;  
vallet_bag_pab;vallet;aboveground biomass;kg;36;epicea;PICEA_ABIES;france (nord/est et massifs);vta,den;vta_m^3,den_kg.m^-3;vallet_bag ;bag=vta*den;;;;;;;;;Vallet P., Dh™te J.-F., Mogu_dec G.L., Ravart M. & Pignard G., 2006. Development of total aboveground volume equations for seven important forest tree species in france. Forest Ecology and Management 229(1_3), 98_110, DOI:10.1016/j.foreco.2006.03.013.;  
vallet_bag_qro;vallet;aboveground biomass;kg;2;chene sessile;QUERCUS_ROBUR;france (nord/est et massifs);vta,den;vta_m^3,den_kg.m^-3;vallet_bag ;bag=vta*den;;;;;;;;;Vallet P., Dh™te J.-F., Mogu_dec G.L., Ravart M. & Pignard G., 2006. Development of total aboveground volume equations for seven important forest tree species in france. Forest Ecology and Management 229(1_3), 98_110, DOI:10.1016/j.foreco.2006.03.013.;  
vallet_bag_fsy;vallet;aboveground biomass;kg;6;hetre;FAGUS_SYLVATICA;france (nord/est et massifs);vta,den;vta_m^3,den_kg.m^-3;vallet_bag ;bag=vta*den;;;;;;;;;Vallet P., Dh™te J.-F., Mogu_dec G.L., Ravart M. & Pignard G., 2006. Development of total aboveground volume equations for seven important forest tree species in france. Forest Ecology and Management 229(1_3), 98_110, DOI:10.1016/j.foreco.2006.03.013.;  
